Injury Severity,Investigation Type,Country,Amateur Built,Aircraft Category,Airport Code,Aircraft Damage,Make,Broad Phase of Flight,Purpose of Flight,FAR Description,Weather Condition,Year,Month,Weekday,State
Non-Fatal,Accident,United States,No,Balloon,NonAirport,Minor,Other,LANDING,Personal,Part 91,VMC,2009,4,5, CA
Fatal,Accident,United States,Yes,Airplane,NonAirport,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2009,4,5, KY
Non-Fatal,Accident,United States,Yes,Airplane,77TN,Substantial,Other,APPROACH,Personal,Part 91,VMC,2009,4,5, TN
Non-Fatal,Accident,United States,No,Airplane,None,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,4,5, ME
Non-Fatal,Accident,United States,No,Airplane,3B0,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,4,5, MA
Non-Fatal,Accident,United States,Yes,Airplane,EUL,Substantial,Other,LANDING,Flight Test,Part 91,VMC,2009,4,4, ID
Fatal,Accident,United States,No,Airplane,FXE,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,4,4, FL
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,TAKEOFF,Positioning,Part 91,VMC,2009,4,4, FL
Non-Fatal,Accident,United States,No,Airplane,WHP,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,4,3, CA
Non-Fatal,Accident,United States,No,Airplane,Priv,Substantial,Other,LANDING,Instructional,Part 91,VMC,2009,4,3, AZ
Non-Fatal,Accident,United States,No,Helicopter,CHD,Substantial,Other,LANDING,Instructional,Part 91,VMC,2009,4,3, AZ
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CLIMB,Personal,Part 91,VMC,2009,4,3, FL
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2009,4,3, AK
Non-Fatal,Accident,United States,No,Airplane,GEU,Substantial,Other,APPROACH,Instructional,Part 91,VMC,2009,4,2, AZ
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Minor,Other,TAKEOFF,Personal,Part 91,VMC,2009,4,2, IL
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,4,2, KS
Non-Fatal,Accident,United States,No,Airplane,VGT,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,4,1, NV
Non-Fatal,Accident,United States,No,Airplane,MBO,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,4,1, MS
Non-Fatal,Accident,United States,No,Airplane,EKY,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,4,1, AL
Non-Fatal,Accident,United States,No,Airplane,MRI,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,4,1, AK
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,2009,4,0, WY
Non-Fatal,Accident,United States,No,Airplane,THV,Substantial,Other,LANDING,Instructional,Part 91,VMC,2009,4,0, PA
Non-Fatal,Accident,United States,No,Airplane,KMTJ,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,4,0, CO
Non-Fatal,Accident,United States,No,Airplane,PBG,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,4,6, NY
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,APPROACH,Positioning,Part 91,VMC,2009,4,6, AK
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,DESCENT,Personal,Part 91,IMC,2009,4,5, CA
Non-Fatal,Accident,United States,No,Airplane,SYI,Substantial,Other,TAKEOFF,Instructional,Part 91,VMC,2009,4,5, TN
Non-Fatal,Accident,United States,No,Airplane,TPF,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,4,5, FL
Fatal,Accident,United States,No,Airplane,IS65,Destroyed,Other,MANEUVERING,Personal,Part 91,VMC,2009,4,5, IL
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,2009,4,5, TX
Non-Fatal,Accident,United States,No,Airplane,0S9,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,4,3, WA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,MANEUVERING,Aerial Application,Part 137,VMC,2009,4,3, OR
Non-Fatal,Accident,United States,No,Airplane,AVP,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,4,3, PA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,4,3, OK
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,CRUISE,Personal,Part 91,VMC,2009,4,3, TX
Non-Fatal,Accident,United States,No,Airplane,BMQ,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,4,3, TX
Non-Fatal,Accident,United States,No,Airplane,A09,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,4,2, AZ
Non-Fatal,Accident,United States,No,Airplane,RBG,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,4,2, OR
Non-Fatal,Accident,United States,No,Weight-Shift,74S,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,4,2, WA
Non-Fatal,Accident,United States,No,Helicopter,CVO,Substantial,Other,STANDING,Instructional,Part 91,VMC,2009,4,1, OR
Non-Fatal,Accident,United States,No,Powered Parachute,NonAirport,Minor,Other,TAKEOFF,Personal,Part 91,VMC,2009,4,1, WA
Non-Fatal,Accident,United States,No,Airplane,RLD,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,4,1, WA
Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,2009,4,1, SC
Non-Fatal,Accident,United States,No,Airplane,0Q9,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,4,6, CA
Non-Fatal,Accident,United States,No,Airplane,JZI,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,4,6, SC
Non-Fatal,Accident,United States,No,Airplane,ORK,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,4,6, AR
Non-Fatal,Accident,United States,No,Airplane,MT53,Substantial,Other,GO-AROUND,Skydiving,Part 91,VMC,2009,4,5, MT
Non-Fatal,Accident,United States,No,Airplane,S43,Substantial,Other,APPROACH,Instructional,Part 91,VMC,2009,4,5, WA
Non-Fatal,Accident,United States,No,Airplane,MRY,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,4,5, CA
Fatal,Accident,United States,No,Airplane,C22,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,4,5, AL
Non-Fatal,Accident,United States,No,Airplane,60J,Substantial,Other,DESCENT,Personal,Part 91,VMC,2009,4,5, NC
Non-Fatal,Accident,United States,Yes,Airplane,81D,Destroyed,Other,TAKEOFF,Personal,Part 91,VMC,2009,4,5, TX
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,4,5, AK
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,4,5, AK
Non-Fatal,Accident,United States,No,Airplane,EWR,Substantial,Other,TAXI,Personal,Part 91,VMC,2009,4,3, NJ
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,4,3, AK
Fatal,Accident,United States,No,Airplane,GPI,Destroyed,Other,CRUISE,Personal,Part 91,VMC,2009,4,2, MT
Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,MANEUVERING,Personal,Part 91,IMC,2009,4,2, OR
Non-Fatal,Accident,United States,No,Airplane,I83,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,4,2, IN
Non-Fatal,Accident,United States,No,Helicopter,CHD,Substantial,Other,MANEUVERING,Instructional,Part 91,VMC,2009,3,0, AZ
Non-Fatal,Accident,United States,Yes,Airplane,10GA,Substantial,Other,TAKEOFF,Flight Test,Part 91,VMC,2009,3,0, GA
Non-Fatal,Accident,United States,No,Airplane,KSLC,Substantial,Other,LANDING,Business,Part 91,VMC,2009,3,6, UT
Non-Fatal,Accident,United States,No,Airplane,SSI,Substantial,Other,LANDING,Instructional,Part 91,VMC,2009,3,6, GA
Non-Fatal,Accident,United States,No,Airplane,None,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,3,6, FL
Non-Fatal,Accident,United States,No,Airplane,GTU,Substantial,Other,APPROACH,Personal,Part 91,VMC,2009,3,6, TX
Incident,Incident,United States,No,Helicopter,NonAirport,Minor,Other,UNKNOWN,Positioning,Part 91,VMC,2009,3,6, TX
Non-Fatal,Accident,United States,No,Airplane,KMAE,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,3,5, CA
Non-Fatal,Accident,United States,No,Airplane,KSQL,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,3,5, CA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,3,5, UT
Non-Fatal,Accident,United States,Yes,Airplane,2R4,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,3,5, FL
Non-Fatal,Accident,United States,No,Airplane,HZE,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,3,5, ND
Non-Fatal,Accident,United States,No,Airplane,KSEZ,Substantial,Other,LANDING,Positioning,Part 91,VMC,2009,3,4, AZ
Non-Fatal,Accident,United States,No,Airplane,KENV,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,3,4, UT
Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,3,3, OK
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,3,3, AK
Non-Fatal,Accident,United States,Yes,Airplane,PRB,Substantial,Other,CRUISE,Personal,Part 91,VMC,2009,3,2, CA
Non-Fatal,Accident,United States,Yes,Airplane,KO27,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,3,2, CA
Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,DESCENT,Personal,Part 91,IMC,2009,3,2, KY
Non-Fatal,Accident,United States,No,Helicopter,2O6,Substantial,Other,MANEUVERING,Other Work Use,Part 91,VMC,2009,3,1, CA
Non-Fatal,Accident,United States,No,Airplane,KAXX,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,3,0, NM
Fatal,Accident,United States,No,Airplane,BTM,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2009,3,6, MT
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,MANEUVERING,Aerial Application,Part 137,VMC,2009,3,6, LA
Non-Fatal,Accident,United States,No,Airplane,3SQ,Substantial,Other,APPROACH,Instructional,Part 91,VMC,2009,3,6, MO
Non-Fatal,Accident,United States,No,Airplane,JAC,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,3,5, WY
Non-Fatal,Accident,United States,No,Airplane,0R0,Substantial,Other,APPROACH,Personal,Part 91,VMC,2009,3,5, MS
Non-Fatal,Accident,United States,No,Airplane,LRD,Substantial,Other,APPROACH,Personal,Part 91,VMC,2009,3,5, TX
Non-Fatal,Accident,United States,Yes,Helicopter,NonAirport,Substantial,Other,CRUISE,Positioning,Part 91,VMC,2009,3,4, CA
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,MANEUVERING,Business,Part 91,VMC,2009,3,4, AZ
Fatal,Accident,United States,No,Airplane,AJO,Substantial,Other,DESCENT,Personal,Part 91,IMC,2009,3,4, CA
Non-Fatal,Accident,United States,No,Airplane,COI,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,3,4, FL
Non-Fatal,Accident,United States,No,Airplane,33N,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,3,4, DE
Non-Fatal,Accident,United States,No,Airplane,CHQ,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,3,4, MO
Non-Fatal,Accident,United States,No,Airplane,KCRS,Destroyed,Other,LANDING,Personal,Part 91,VMC,2009,3,4, TX
Non-Fatal,Accident,United States,No,Airplane,ELN,Substantial,Other,LANDING,Instructional,Part 91,VMC,2009,3,3, WA
Non-Fatal,Accident,United States,Yes,Airplane,VPC,Substantial,Other,DESCENT,Personal,Part 91,VMC,2009,3,3, GA
Non-Fatal,Accident,United States,No,Airplane,CEA,Substantial,Other,OTHER,Flight Test,Part 91,VMC,2009,3,3, KS
Non-Fatal,Accident,United States,Yes,Airplane,P52,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,3,2, AZ
Non-Fatal,Accident,United States,No,Airplane,OCF,Substantial,Other,LANDING,Instructional,Part 91,VMC,2009,3,2, FL
Non-Fatal,Accident,United States,No,Airplane,N40,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,3,2, NJ
Non-Fatal,Accident,United States,No,Airplane,RYY,Substantial,Other,TAXI,Personal,Part 91,VMC,2009,3,2, GA
Non-Fatal,Accident,United States,No,Airplane,CPR,Substantial,Other,TAKEOFF,Executive_Corporate,Part 91,VMC,2009,3,1, WY
Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2009,3,1, MT
Non-Fatal,Accident,United States,No,Airplane,SBP,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,3,1, CA
Non-Fatal,Accident,United States,No,Airplane,LVN,Substantial,Other,GO-AROUND,Instructional,Part 91,VMC,2009,3,1, MN
Incident,Incident,United States,No,Helicopter,AE25,Minor,Other,TAXI,Positioning,Part 91,VMC,2009,3,1, IL
Non-Fatal,Accident,United States,No,Airplane,LAF,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,3,1, IN
Non-Fatal,Accident,United States,No,Airplane,SFB,Substantial,Other,STANDING,Instructional,Part 91,VMC,2009,3,0, FL
Non-Fatal,Accident,United States,No,Airplane,KSKX,Substantial,Other,APPROACH,Personal,Part 91,VMC,2009,3,0, NM
Non-Fatal,Accident,United States,Yes,Airplane,KSPI,Substantial,Other,LANDING,Flight Test,Part 91,VMC,2009,3,0, IL
Non-Fatal,Accident,United States,No,Airplane,GAI,Substantial,Other,MANEUVERING,Personal,Part 91,IMC,2009,3,6, MD
Non-Fatal,Accident,United States,No,Airplane,08D,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,3,6, ND
Non-Fatal,Accident,United States,No,Airplane,K34,Substantial,Other,TAXI,Personal,Part 91,VMC,2009,3,6, KS
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,3,6, MN
Fatal,Accident,United States,No,Airplane,KPOC,Destroyed,Other,CLIMB,Personal,Part 91,IMC,2009,3,5, CA
Non-Fatal,Accident,United States,Yes,Airplane,HEF,Substantial,Other,TAXI,Personal,Part 91,VMC,2009,3,5, VA
Fatal,Accident,United States,Yes,Gyrocraft,OBE,Substantial,Other,TAXI,Personal,Part 91,VMC,2009,3,5, FL
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,3,5, MN
Non-Fatal,Accident,United States,Yes,Airplane,FMM,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,3,5, CO
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,STANDING,Other Work Use,Part 91,VMC,2009,3,4, AZ
Non-Fatal,Accident,United States,No,Airplane,GEZ,Substantial,Other,CRUISE,Ferry,Part 91,VMC,2009,3,4, IN
Non-Fatal,Accident,United States,No,Airplane,6J7,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,3,2, SC
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,LANDING,Other Work Use,Part 91,VMC,2009,3,2, TX
Non-Fatal,Accident,United States,No,Airplane,DRO,Substantial,Other,LANDING,Instructional,Part 91,VMC,2009,3,2, CO
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,MANEUVERING,Other Work Use,Part 133,VMC,2009,3,1, MA
Fatal,Accident,United States,Yes,Airplane,NonAirport,Destroyed,Other,DESCENT,Personal,Part 91,VMC,2009,3,1, FL
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Destroyed,Other,UNKNOWN,Personal,Part 91,VMC,2009,3,1, TX
Non-Fatal,Accident,United States,No,Airplane,BLM,Substantial,Other,LANDING,Positioning,Part 91,IMC,2009,3,0, NJ
Fatal,Accident,United States,No,Airplane,1N1,Destroyed,Other,CRUISE,Personal,Part 91,IMC,2009,3,0, NM
Non-Fatal,Accident,United States,Yes,Airplane,RVS,Substantial,Other,LANDING,Instructional,Part 91,VMC,2009,3,0, OK
Non-Fatal,Accident,United States,No,Helicopter,None,Substantial,Other,LANDING,Positioning,Part 91,VMC,2009,3,6, CA
Non-Fatal,Accident,United States,No,Airplane,4R1,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,3,6, MS
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,CRUISE,Personal,Part 91,IMC,2009,3,6, GA
Non-Fatal,Accident,United States,Yes,Airplane,STS,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,3,5, CA
Non-Fatal,Accident,United States,No,Airplane,MIV,Destroyed,Other,APPROACH,Personal,Part 91,VMC,2009,3,5, NJ
Non-Fatal,Accident,United States,No,Airplane,MTP,Substantial,Other,TAKEOFF,Instructional,Part 91,VMC,2009,3,5, NY
Fatal,Accident,United States,Yes,Airplane,4I7,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,3,5, IN
Non-Fatal,Accident,United States,No,Airplane,BFL,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,3,4, CA
Non-Fatal,Accident,United States,Yes,Airplane,2W6,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,3,4, MD
Fatal,Accident,United States,Yes,Airplane,NonAirport,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2009,3,4, FL
Non-Fatal,Accident,United States,No,Airplane,5G3,Substantial,Other,MANEUVERING,Business,Part 91,VMC,2009,3,4, SD
Non-Fatal,Accident,United States,No,Airplane,1O4,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,3,4, OK
Non-Fatal,Accident,United States,No,Airplane,RNV,Substantial,Other,DESCENT,Instructional,Part 91,VMC,2009,3,3, MS
Non-Fatal,Accident,United States,No,Airplane,MMU,Substantial,Other,TAKEOFF,Instructional,Part 91,VMC,2009,3,3, NJ
Non-Fatal,Accident,United States,No,Airplane,CGC,Substantial,Other,LANDING,Instructional,Part 91,VMC,2009,3,3, FL
Non-Fatal,Accident,United States,No,Airplane,F44,Substantial,Other,TAKEOFF,Unknown,Part 91,VMC,2009,3,2, TX
Non-Fatal,Accident,United States,No,Airplane,KCXL,Substantial,Other,MANEUVERING,Aerial Observation,Part 91,VMC,2009,3,1, CA
Incident,Incident,United States,No,Helicopter,NonAirport,Minor,Other,DESCENT,Unknown,Part 135,VMC,2009,3,1, AZ
Non-Fatal,Accident,United States,Yes,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,2009,3,0, CA
Non-Fatal,Accident,United States,No,Weight-Shift,NonAirport,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,3,0, AZ
Non-Fatal,Accident,United States,No,Helicopter,GAO,Substantial,Other,STANDING,Ferry,Part 91,VMC,2009,3,0, LA
Non-Fatal,Accident,United States,Yes,Airplane,1T7,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,3,0, TX
Fatal,Accident,United States,No,Airplane,KACV,Destroyed,Other,APPROACH,Personal,Part 91,VMC,2009,3,6, CA
Non-Fatal,Accident,United States,No,Airplane,4M3,Substantial,Other,LANDING,Instructional,Part 91,VMC,2009,3,6, AR
Fatal,Accident,United States,No,Airplane,L36,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,2,5, CA
Non-Fatal,Accident,United States,Yes,Airplane,PSP,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,2,5, CA
Non-Fatal,Accident,United States,No,Airplane,L18,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,2,5, CA
Non-Fatal,Accident,United States,No,Airplane,70CL,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,2,4, NV
Fatal,Accident,United States,No,Airplane,KHDC,Substantial,Other,CRUISE,Personal,Part 91,VMC,2009,2,4, LA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAXI,Personal,Part 91,VMC,2009,2,4, AK
Non-Fatal,Accident,United States,No,Airplane,HOM,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,2,4, AK
Fatal,Accident,United States,Yes,Unknown,TOA,Substantial,Other,STANDING,Personal,Part 91,VMC,2009,2,3, CA
Non-Fatal,Accident,United States,No,Airplane,MLB,Substantial,Other,LANDING,Instructional,Part 91,VMC,2009,2,3, FL
Fatal,Accident,United States,No,Airplane,3J1,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,2,3, SC
Non-Fatal,Accident,United States,Yes,Airplane,GUY,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,2,3, OK
Non-Fatal,Accident,United States,No,Airplane,KBJC,Substantial,Other,TAXI,Personal,Part 91,VMC,2009,2,3, CO
Non-Fatal,Accident,United States,No,Airplane,OJC,Minor,Other,STANDING,Personal,Part 91,VMC,2009,2,2, KS
Non-Fatal,Accident,United States,No,Airplane,OJC,Substantial,Other,STANDING,Personal,Part 91,VMC,2009,2,2, KS
Non-Fatal,Accident,United States,No,Helicopter,2F5,Substantial,Other,MANEUVERING,Other Work Use,Part 91,VMC,2009,2,2, TX
Non-Fatal,Accident,United States,No,Airplane,61CA,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,2,1, CA
Fatal,Accident,United States,No,Helicopter,NC61,Substantial,Other,MANEUVERING,Instructional,Part 91,VMC,2009,2,1, NC
Non-Fatal,Accident,United States,No,Airplane,FWA,Substantial,Other,LANDING,Instructional,Part 91,VMC,2009,2,1, IN
Non-Fatal,Accident,United States,No,Airplane,BXK,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,2,0, AZ
Non-Fatal,Accident,United States,No,Airplane,PUB,Substantial,Other,LANDING,Positioning,Part 91,VMC,2009,2,0, CO
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,LANDING,Positioning,Part 91,VMC,2009,2,6, AZ
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2009,2,6, CA
Incident,Incident,United States,No,Airplane,TUS,Minor,Other,TAXI,Instructional,Part 91,VMC,2009,2,6, AZ
Non-Fatal,Accident,United States,No,Airplane,00V,Substantial,Other,APPROACH,Personal,Part 91,VMC,2009,2,6, CO
Non-Fatal,Accident,United States,No,Airplane,KMHK,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,2,6, KS
Non-Fatal,Accident,United States,No,Airplane,OGD,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,2,5, UT
Non-Fatal,Accident,United States,No,Airplane,2W2,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,2,5, MD
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,MANEUVERING,Instructional,Part 91,VMC,2009,2,5, NM
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2009,2,4, CA
Non-Fatal,Accident,United States,No,Airplane,EUL,Substantial,Other,APPROACH,Personal,Part 91,VMC,2009,2,4, ID
Non-Fatal,Accident,United States,No,Airplane,89D,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,2,4, OH
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Instructional,Part 91,VMC,2009,2,4, AK
Non-Fatal,Accident,United States,No,Airplane,1W1,Substantial,Other,LANDING,Instructional,Part 91,VMC,2009,2,3, WA
Non-Fatal,Accident,United States,No,Airplane,LHM,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,2,3, CA
Non-Fatal,Accident,United States,No,Airplane,O15,Substantial,Other,TAKEOFF,Instructional,Part 91,VMC,2009,2,2, CA
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,2,2, CA
Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,MANEUVERING,Instructional,Part 91,VMC,2009,2,1, FL
Non-Fatal,Accident,United States,Yes,Airplane,NonAirport,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2009,2,1, NH
Non-Fatal,Accident,United States,No,Airplane,3GV,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,2,1, MO
Non-Fatal,Accident,United States,No,Airplane,TBR,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2009,2,0, GA
Non-Fatal,Accident,United States,No,Airplane,PASX,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,2,0, AK
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,CRUISE,Personal,Part 91,VMC,2009,2,6, ID
Non-Fatal,Accident,United States,No,Airplane,KL67,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,2,5, CA
Non-Fatal,Accident,United States,No,Airplane,RVS,Substantial,Other,LANDING,Instructional,Part 91,VMC,2009,2,5, OK
Non-Fatal,Accident,United States,No,Airplane,SBS,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,2,5, CO
Non-Fatal,Accident,United States,No,Airplane,T92,Substantial,Other,MANEUVERING,Instructional,Part 91,VMC,2009,2,3, TX
Fatal,Accident,United States,No,Airplane,9X1,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,2,3, TX
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,2,2, NJ
Non-Fatal,Accident,United States,No,Airplane,CEU,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,2,0, SC
Non-Fatal,Accident,United States,No,Airplane,NY15,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,2,6, NY
Non-Fatal,Accident,United States,No,Balloon,HUF,Substantial,Other,APPROACH,Personal,Part 91,VMC,2009,2,6, IN
Non-Fatal,Accident,United States,No,Airplane,5G0,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,2,5, NY
Non-Fatal,Accident,United States,No,Airplane,09FA,Substantial,Other,LANDING,Instructional,Part 91,VMC,2009,2,5, FL
Incident,Incident,United States,No,Airplane,KFMZ,Minor,Other,APPROACH,Personal,Part 91,VMC,2009,2,5, NE
Incident,Incident,United States,No,Airplane,KFMZ,Minor,Other,APPROACH,Personal,Part 91,VMC,2009,2,5, NE
Non-Fatal,Accident,United States,No,Airplane,1F7,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,2,5, TX
Non-Fatal,Accident,United States,No,Airplane,9K0,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,2,5, KS
Non-Fatal,Accident,United States,Yes,Airplane,CSV,Substantial,Other,TAKEOFF,Flight Test,Part 91,VMC,2009,2,4, TN
Fatal,Accident,United States,No,Airplane,AVX,Substantial,Other,CLIMB,Personal,Part 91,IMC,2009,2,3, CA
Non-Fatal,Accident,United States,Yes,Airplane,4SD,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2009,2,3, NV
Non-Fatal,Accident,United States,No,Airplane,MHV,Substantial,Other,TAKEOFF,Instructional,Part 91,VMC,2009,2,2, CA
Non-Fatal,Accident,United States,No,Airplane,MT41,Substantial,Other,LANDING,Personal,Part 91,VMC,2009,2,2, MT
Incident,Incident,United States,No,Airplane,ASE,Minor,Other,LANDING,Personal,Part 91,VMC,2009,2,2, CO
